player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Alaa Abdelnaby,1991,1995,,6-10,240,"June 24, 1968",Duke,Career,,,NBA,256,53,12.5,2.4,4.8,.502,0.0,0.0,.000,2.4,4.8,.503,.502,0.9,1.3,.701,1.1,2.2,3.3,0.3,0.3,0.3,1.0,1.9,5.7
Zaid Abdul-Aziz,1969,1978,,6-9,235,"April 7, 1946",Iowa State,Career,,,NBA,505,,21.8,3.5,8.2,.428,,,,,,,,2.0,2.8,.728,2.4,5.4,8.0,1.2,0.6,1.0,0.9,2.2,9.0
Kareem Abdul-Jabbar*,1970,1989,,7-2,225,"April 16, 1947",UCLA,Career,,,NBA,1560,625,36.8,10.2,18.1,.559,0.0,0.0,.056,10.2,18.1,.560,.559,4.3,6.0,.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3.0,24.6
Mahmoud Abdul-Rauf,1991,2001,,6-1,162,"March 9, 1969",LSU,Career,,,NBA,586,336,26.7,6.0,13.6,.442,0.8,2.3,.354,5.2,11.3,.460,.472,1.8,2.0,.905,0.4,1.5,1.9,3.5,0.8,0.1,1.6,1.9,14.6
Tariq Abdul-Wahad,1998,2003,,6-6,223,"November 3, 1974","Michigan, San Jose State",Career,,,NBA,236,145,20.4,3.1,7.3,.417,0.1,0.3,.237,3.0,7.0,.425,.422,1.6,2.2,.703,1.2,2.1,3.3,1.1,0.8,0.4,1.3,2.1,7.8
Shareef Abdur-Rahim,1997,2008,,6-9,225,"December 11, 1976",California,Career,,,NBA,830,704,34.8,6.5,13.9,.472,0.2,0.6,.297,6.4,13.2,.480,.479,4.8,6.0,.810,2.3,5.3,7.5,2.5,1.0,0.8,2.6,2.8,18.1
Tom Abernethy,1977,1981,,6-7,220,"May 6, 1954",Indiana,Career,,,NBA,319,,17.0,2.3,4.6,.492,0.0,0.0,.000,2.3,4.6,.493,.492,1.0,1.4,.747,1.2,2.0,3.2,1.2,0.6,0.2,0.5,1.6,5.6
Forest Able,1957,1957,,6-3,180,"July 27, 1932",Western Kentucky,Career,,,NBA,1,,1.0,0.0,2.0,.000,,,,,,,,0.0,0.0,,,,1.0,1.0,,,,1.0,0.0
John Abramovic,1947,1948,,6-3,195,"February 9, 1919",Salem International University,Career,,,BAA,56,,,3.6,15.3,.237,,,,,,,,2.3,3.3,.686,,,,0.7,,,,3.1,9.5
Álex Abrines,2017,2019,,6-6,200,"August 1, 1993",,Career,,,NBA,174,16,16.0,1.8,4.5,.387,1.3,3.4,.368,0.5,1.1,.443,.525,0.5,0.6,.880,0.3,1.1,1.4,0.5,0.5,0.1,0.4,1.7,5.3
Precious Achiuwa,2021,2021,,6-8,225,"September 19, 1999",Memphis,Career,,,NBA,61,4,12.1,2.0,3.7,.544,0.0,0.0,.000,2.0,3.7,.546,.544,0.9,1.8,.509,1.2,2.2,3.4,0.5,0.3,0.5,0.7,1.5,5.0
Alex Acker,2006,2009,,6-5,185,"January 21, 1983",Pepperdine,Career,,,NBA,30,0,7.8,1.1,3.1,.370,0.3,0.8,.320,0.9,2.2,.388,.413,0.2,0.3,.500,0.3,0.7,1.0,0.5,0.2,0.1,0.4,0.4,2.7
Don Ackerman,1954,1954,,6-0,183,"September 4, 1930",Long Island University,Career,,,NBA,28,,7.9,0.5,2.3,.222,,,,,,,,0.5,1.0,.536,,,0.5,0.8,,,,1.5,1.5
Mark Acres,1988,1993,,6-11,220,"November 15, 1962",Oral Roberts,Career,,,NBA,375,68,16.0,1.4,2.7,.506,0.0,0.0,.538,1.4,2.7,.505,.509,0.8,1.2,.665,1.5,2.5,4.1,0.5,0.4,0.3,0.6,2.5,3.6
Bud Acton,1968,1968,,6-6,210,"January 11, 1942",Hillsdale College,Career,,,NBA,23,,8.5,1.3,3.2,.392,,,,,,,,0.8,1.3,.655,,,2.0,0.5,,,,1.5,3.3
Quincy Acy,2013,2019,,6-7,240,"October 6, 1990",Baylor,Career,,,NBA,337,60,16.0,1.7,3.9,.444,0.5,1.6,.350,1.2,2.3,.506,.513,0.9,1.1,.759,0.9,2.6,3.5,0.6,0.4,0.4,0.6,2.0,4.9
Alvan Adams,1976,1988,,6-9,210,"July 19, 1954",Oklahoma,Career,,,NBA,988,342,27.5,5.8,11.6,.498,0.0,0.0,.133,5.8,11.6,.498,.498,2.5,3.2,.788,2.0,5.0,7.0,4.1,1.3,0.8,2.6,3.3,14.1
Don Adams,1971,1977,,6-6,210,"November 27, 1947",Northwestern,Career,,,TOT,523,,25.8,3.5,8.7,.402,0.0,0.1,.000,3.5,8.7,.402,.402,1.8,2.5,.741,1.5,3.3,5.6,1.9,1.1,0.2,2.2,3.3,8.8
George Adams,1973,1975,,6-5,210,"May 15, 1949",Gardner-Webb University,Career,,,ABA,215,,18.2,3.3,6.7,.497,0.0,0.1,.235,3.3,6.6,.500,.499,1.0,1.3,.794,1.5,2.6,4.1,1.5,0.6,0.4,1.4,1.7,7.7
Hassan Adams,2007,2009,,6-4,220,"June 20, 1984",Arizona,Career,,,NBA,73,8,7.5,1.1,2.0,.534,0.0,0.0,.000,1.1,2.0,.537,.534,0.4,0.6,.643,0.5,0.7,1.2,0.2,0.2,0.1,0.4,0.7,2.5
Jaylen Adams,2019,2021,,6-0,225,"May 4, 1996",St. Bonaventure,Career,,,NBA,41,1,10.9,1.0,2.9,.331,0.6,1.9,.329,0.3,1.0,.333,.436,0.2,0.2,.778,0.3,1.3,1.5,1.6,0.3,0.1,0.7,1.1,2.7
Jordan Adams,2015,2016,,6-5,209,"July 8, 1994",UCLA,Career,,,NBA,32,0,8.2,1.2,2.9,.402,0.3,0.8,.385,0.8,2.1,.409,.457,0.5,0.9,.607,0.3,0.7,0.9,0.6,0.6,0.2,0.5,0.8,3.2
Michael Adams,1986,1996,,5-10,162,"January 19, 1963",Boston College,Career,,,NBA,653,510,31.3,5.0,12.0,.415,1.5,4.4,.332,3.5,7.6,.462,.475,3.3,3.9,.849,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,14.7
Steven Adams,2014,2021,,6-11,265,"July 20, 1993",Pitt,Career,,,NBA,588,524,26.9,4.0,6.8,.591,0.0,0.0,.077,4.0,6.7,.592,.591,1.6,2.9,.548,3.5,4.3,7.7,1.2,0.9,1.0,1.4,2.5,9.6
Rafael Addison,1987,1997,,6-7,215,"July 22, 1964",Syracuse,Career,,,NBA,379,54,15.0,2.4,5.4,.449,0.2,0.6,.282,2.2,4.8,.472,.466,0.7,0.9,.772,0.7,1.4,2.1,0.9,0.4,0.2,0.7,1.8,5.8
Bam Adebayo,2018,2021,,6-9,255,"July 18, 1997",Kentucky,Career,,,NBA,287,183,27.3,4.7,8.4,.559,0.0,0.2,.159,4.7,8.3,.566,.560,2.9,4.0,.738,2.1,5.9,8.0,3.5,0.9,0.9,2.0,2.3,12.4
Deng Adel,2019,2019,,6-7,200,"February 1, 1997",Louisville,Career,,,NBA,19,3,10.2,0.6,1.9,.306,0.3,1.2,.261,0.3,0.7,.385,.389,0.2,0.2,1.000,0.2,0.8,1.0,0.3,0.1,0.2,0.3,0.7,1.7
Rick Adelman*,1969,1975,,6-1,175,"June 16, 1946",Loyola Marymount,Career,,,NBA,462,,22.6,3.0,7.2,.415,,,,,,,,1.8,2.5,.713,0.4,1.1,2.4,3.5,0.9,0.1,,2.1,7.7
Jeff Adrien,2011,2015,,6-7,245,"February 10, 1986",UConn,Career,,,NBA,153,17,14.0,1.7,3.6,.474,0.0,0.0,.000,1.7,3.6,.476,.474,1.2,1.9,.628,1.4,2.9,4.3,0.7,0.3,0.5,0.6,1.7,4.6
Arron Afflalo,2008,2018,,6-5,210,"October 15, 1985",UCLA,Career,,,NBA,762,537,27.3,3.9,8.7,.450,1.1,2.9,.386,2.8,5.8,.481,.514,1.8,2.2,.825,0.4,2.4,2.9,1.8,0.4,0.2,1.1,1.9,10.8
Maurice Ager,2007,2011,,6-5,202,"February 9, 1984",Michigan State,Career,,,NBA,82,4,6.2,0.8,2.3,.339,0.1,0.5,.250,0.6,1.8,.366,.368,0.4,0.6,.566,0.1,0.5,0.6,0.2,0.1,0.1,0.4,0.8,2.1
Mark Aguirre,1982,1994,,6-6,232,"December 10, 1959",DePaul,Career,,,NBA,923,639,30.0,7.8,16.1,.484,0.4,1.4,.312,7.4,14.7,.500,.498,4.0,5.4,.741,1.8,3.1,5.0,3.1,0.7,0.3,2.5,2.8,20.0
Blake Ahearn,2008,2012,,6-2,190,"May 27, 1984",Missouri State University,Career,,,NBA,19,0,11.9,1.1,4.1,.273,0.7,2.5,.298,0.4,1.6,.233,.364,1.7,1.7,.970,0.1,1.1,1.2,1.2,0.4,0.0,1.2,1.4,4.6
Danny Ainge,1982,1995,,6-4,175,"March 17, 1959",BYU,Career,,,NBA,1042,508,26.6,4.5,9.5,.469,1.0,2.5,.378,3.5,7.0,.502,.519,1.6,1.9,.846,0.7,2.0,2.7,4.0,1.1,0.1,1.5,2.4,11.5
Matthew Aitch,1968,1968,,6-7,230,"September 21, 1944",Michigan State,Career,,,ABA,45,,14.2,2.2,5.5,.405,0.0,0.0,.000,2.2,5.4,.408,.405,1.2,1.7,.675,,,3.6,0.4,,,0.8,1.5,5.6
Alexis Ajinça,2009,2017,,7-2,248,"May 6, 1988",,Career,,,NBA,293,76,13.3,2.2,4.4,.503,0.0,0.1,.286,2.2,4.2,.510,.507,0.9,1.1,.797,1.2,2.7,3.9,0.5,0.3,0.6,0.8,2.3,5.3
Henry Akin,1967,1969,,6-10,225,"July 31, 1944",Morehead State University,Career,,,TOT,88,,8.4,1.5,4.2,.350,0.0,1.0,.000,1.5,4.2,.352,.350,0.5,0.8,.676,0.0,2.0,2.1,0.5,,,2.0,1.5,3.5
Josh Akognon,2013,2013,,5-11,185,"February 10, 1986","Washington State, Cal State Fullerton",Career,,,NBA,3,0,3.0,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7
DeVaughn Akoon-Purcell,2019,2019,,6-6,200,"June 5, 1993",Illinois State,Career,,,NBA,7,0,3.1,0.4,1.4,.300,0.0,0.6,.000,0.4,0.9,.500,.300,0.1,0.3,.500,0.1,0.4,0.6,0.9,0.3,0.0,0.3,0.6,1.0
Solomon Alabi,2011,2012,,7-1,251,"March 21, 1988",Florida State,Career,,,NBA,26,0,7.0,0.6,2.0,.314,0.0,0.0,,0.6,2.0,.314,.314,0.3,0.4,.700,0.8,1.5,2.3,0.2,0.2,0.4,0.3,0.6,1.5
Mark Alarie,1987,1991,,6-8,217,"December 11, 1963",Duke,Career,,,NBA,325,41,16.9,3.2,6.7,.475,0.1,0.4,.252,3.1,6.3,.490,.483,1.0,1.3,.775,1.3,2.1,3.4,1.1,0.4,0.3,1.0,2.2,7.5
Gary Alcorn,1960,1961,,6-9,225,"October 8, 1936",Fresno State,Career,,,NBA,78,,10.8,1.3,4.5,.293,,,,,,,,0.7,1.2,.598,,,4.2,0.3,,,,2.2,3.3
Furkan Aldemir,2015,2015,,6-10,240,"August 9, 1991",,Career,,,NBA,41,9,13.2,1.0,1.9,.513,0.0,0.1,.000,1.0,1.8,.548,.513,0.3,0.7,.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3
Cole Aldrich,2011,2018,,6-11,250,"October 31, 1988",Kansas,Career,,,NBA,339,23,10.0,1.3,2.4,.527,0.0,0.0,,1.3,2.4,.527,.527,0.5,0.7,.738,1.0,2.4,3.3,0.5,0.4,0.7,0.6,1.5,3.1
LaMarcus Aldridge,2007,2021,,6-11,250,"July 19, 1985",Texas,Career,,,NBA,1029,985,34.2,7.8,16.0,.491,0.2,0.6,.321,7.6,15.3,.498,.497,3.5,4.3,.811,2.6,5.6,8.2,2.0,0.7,1.1,1.6,2.4,19.4
Chuck Aleksinas,1985,1985,,6-11,260,"February 26, 1959","Kentucky, UConn",Career,,,NBA,74,4,15.1,2.2,4.6,.478,0.0,0.0,.000,2.2,4.5,.479,.478,0.7,1.0,.733,1.2,2.5,3.6,0.5,0.2,0.2,1.0,2.3,5.1
Cliff Alexander,2016,2016,,6-8,245,"November 16, 1995",Kansas,Career,,,NBA,8,0,4.5,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.0,0.0,,0.3,0.5,0.8,0.0,0.1,0.3,0.1,0.1,1.3
Cory Alexander,1996,2005,,6-1,185,"June 22, 1973",Virginia,Career,,,NBA,307,35,15.8,1.9,4.9,.389,0.8,2.2,.354,1.1,2.7,.417,.468,0.9,1.1,.756,0.3,1.3,1.6,2.7,0.9,0.1,1.5,1.7,5.5
Courtney Alexander,2001,2003,,6-5,205,"April 27, 1977","Virginia, Fresno State",Career,,,NBA,187,59,21.7,3.5,8.3,.422,0.2,0.6,.339,3.3,7.7,.429,.435,1.8,2.2,.813,0.7,1.5,2.2,1.2,0.6,0.1,1.1,2.0,9.0
Gary Alexander,1994,1994,,6-7,240,"November 1, 1969",South Florida,Career,,,NBA,11,0,5.0,0.7,1.3,.571,0.0,0.0,,0.7,1.3,.571,.571,0.3,0.8,.333,0.6,0.7,1.4,0.2,0.3,0.0,0.7,0.9,1.7
Joe Alexander,2009,2010,,6-8,230,"December 26, 1986",West Virginia,Career,,,NBA,67,0,11.1,1.5,3.7,.410,0.2,0.7,.340,1.3,3.0,.426,.442,0.9,1.3,.698,0.7,1.1,1.8,0.7,0.2,0.4,0.8,1.7,4.2
Kyle Alexander,2020,2020,,6-11,220,"October 21, 1996",Tennessee,Career,,,NBA,2,0,6.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.5,0.5,1.0
Ty-Shon Alexander,2021,2021,,6-3,195,"July 16, 1998",Creighton,Career,,,NBA,15,0,3.1,0.2,0.8,.250,0.1,0.6,.222,0.1,0.2,.333,.333,0.1,0.1,.500,0.1,0.5,0.7,0.4,0.0,0.1,0.2,0.1,0.6
Victor Alexander,1992,2002,,6-9,265,"August 31, 1969",Iowa State,Career,,,NBA,286,155,20.1,3.8,7.4,.518,0.1,0.2,.286,3.8,7.2,.525,.522,1.1,1.8,.634,1.6,3.3,4.8,0.9,0.5,0.6,1.3,2.5,8.9
Nickeil Alexander-Walker,2020,2021,,6-6,205,"September 2, 1998",Virginia Tech,Career,,,NBA,93,14,17.2,3.1,7.8,.401,1.3,3.8,.347,1.8,4.0,.452,.485,0.8,1.1,.709,0.2,2.2,2.5,2.1,0.7,0.3,1.3,1.6,8.3
Steve Alford,1988,1991,,6-2,183,"November 23, 1964",Indiana,Career,,,NBA,169,3,9.7,1.7,3.8,.459,0.2,0.6,.324,1.5,3.1,.487,.487,0.8,0.9,.870,0.1,0.7,0.9,1.0,0.5,0.1,0.5,0.7,4.4
Rawle Alkins,2019,2019,,6-5,225,"October 29, 1997",Arizona,Career,,,NBA,10,1,12.0,1.3,3.9,.333,0.3,1.2,.250,1.0,2.7,.370,.372,0.8,1.2,.667,1.1,1.5,2.6,1.3,0.1,0.0,0.8,0.7,3.7
Bill Allen,1968,1968,,6-8,205,,New Mexico State,Career,,,ABA,38,,22.6,3.2,7.4,.429,0.1,0.1,1.000,3.1,7.3,.424,.432,1.5,2.6,.586,,,7.1,0.6,,,1.0,3.2,7.9
Bob Allen,1969,1969,,6-9,205,"July 17, 1946",Marshall,Career,,,NBA,27,,8.6,0.5,1.6,.326,,,,,,,,0.7,1.3,.556,,,2.1,0.4,,,,1.0,1.8
Grayson Allen,2019,2021,,6-4,198,"October 8, 1995",Duke,Career,,,NBA,126,40,19.0,2.8,6.7,.423,1.6,4.1,.381,1.3,2.6,.489,.540,1.3,1.6,.832,0.2,1.9,2.1,1.5,0.5,0.1,0.9,1.4,8.5
Jarrett Allen,2018,2021,,6-11,243,"April 21, 1998",Texas,Career,,,NBA,285,220,25.4,4.1,6.7,.611,0.1,0.3,.200,4.0,6.4,.631,.616,2.4,3.5,.696,2.6,5.7,8.3,1.3,0.5,1.4,1.3,2.1,10.7
Jerome Allen,1996,1997,,6-4,184,"January 28, 1973",Penn,Career,,,NBA,117,1,11.2,1.0,2.8,.350,0.3,1.1,.317,0.6,1.7,.370,.411,0.6,0.9,.630,0.3,0.8,1.1,1.7,0.4,0.1,0.9,1.1,2.9
Kadeem Allen,2018,2020,,6-1,200,"January 15, 1993",Arizona,Career,,,NBA,47,2,13.6,1.9,4.4,.435,0.5,1.3,.349,1.4,3.1,.472,.488,1.2,1.6,.757,0.3,1.2,1.5,2.3,0.5,0.2,0.9,1.4,5.5
Lavoy Allen,2012,2017,,6-9,260,"February 4, 1989",Temple,Career,,,NBA,388,87,17.8,2.1,4.5,.471,0.0,0.0,.133,2.1,4.5,.474,.472,0.5,0.7,.682,1.8,2.9,4.8,1.0,0.3,0.6,0.7,1.8,4.8
Lucius Allen,1970,1979,,6-2,175,"September 26, 1947",UCLA,Career,,,NBA,702,,28.7,5.5,11.9,.463,,,,,,,,2.3,3.1,.760,1.0,2.3,3.1,4.5,1.5,0.3,2.3,2.6,13.4
Malik Allen,2002,2011,,6-10,255,"June 27, 1978",Villanova,Career,,,NBA,478,125,15.2,2.2,4.9,.439,0.0,0.0,.188,2.2,4.9,.441,.440,0.5,0.7,.778,1.0,1.9,2.8,0.5,0.3,0.5,0.7,1.9,4.9
Randy Allen,1989,1990,,6-8,220,"January 26, 1965",Florida State,Career,,,NBA,70,6,11.3,1.6,3.7,.442,0.0,0.1,.000,1.6,3.6,.456,.442,0.3,0.6,.533,0.7,1.3,2.1,0.3,0.2,0.3,0.4,1.6,3.6
Ray Allen*,1997,2014,,6-5,205,"July 20, 1975",UConn,Career,,,NBA,1300,1149,35.6,6.6,14.6,.452,2.3,5.7,.400,4.3,8.9,.485,.530,3.4,3.8,.894,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9
Tony Allen,2005,2018,,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State",Career,,,NBA,820,441,22.0,3.2,6.6,.475,0.2,0.5,.282,3.0,6.1,.492,.487,1.7,2.3,.709,1.2,2.3,3.5,1.3,1.4,0.4,1.4,2.4,8.1
Willie Allen,1972,1972,,6-6,230,"February 8, 1949",Miami (FL),Career,,,ABA,7,,4.3,0.6,1.9,.308,0.0,0.0,,0.6,1.9,.308,.308,0.7,0.9,.833,0.6,1.4,2.0,0.6,,,0.9,1.6,1.9
Odis Allison,1972,1972,,6-6,195,"October 2, 1949",UNLV,Career,,,NBA,36,,4.6,0.5,2.2,.218,,,,,,,,0.9,1.7,.541,,,1.3,0.3,,,,0.9,1.9
Lance Allred,2008,2008,,6-11,250,"February 2, 1981","Utah, Weber State",Career,,,NBA,3,0,3.3,0.3,1.3,.250,0.0,0.0,,0.3,1.3,.250,.250,0.3,0.7,.500,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.3,1.0
Darrell Allums,1981,1981,,6-9,220,"September 12, 1958",UCLA,Career,,,NBA,22,,12.5,1.0,3.0,.343,0.0,0.0,.000,1.0,3.0,.348,.343,0.6,1.0,.591,0.9,2.1,3.0,1.1,0.2,0.4,1.0,2.3,2.7
Morris Almond,2008,2012,,6-6,225,"February 2, 1985",Rice University,Career,,,NBA,38,1,9.5,1.1,3.0,.381,0.2,0.6,.292,0.9,2.3,.404,.412,0.7,0.9,.743,0.3,0.9,1.2,0.3,0.3,0.1,0.5,1.1,3.1
Derrick Alston,1995,1997,,6-11,225,"August 20, 1972",Duquesne,Career,,,NBA,139,42,19.1,2.3,4.7,.489,0.0,0.1,.143,2.3,4.6,.493,.490,0.8,1.7,.487,1.6,2.1,3.8,0.7,0.7,0.6,0.8,2.1,5.4
Rafer Alston,2000,2010,,6-2,171,"July 24, 1976",Fresno State,Career,,,NBA,671,452,28.9,3.7,9.5,.383,1.5,4.2,.354,2.2,5.3,.407,.461,1.3,1.8,.729,0.4,2.5,2.8,4.8,1.2,0.2,1.8,2.1,10.1
Peter Aluma,1999,1999,,6-10,260,"April 23, 1973",Liberty,Career,,,NBA,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,1.0,2.0,1.0
John Amaechi,1996,2003,,6-10,270,"November 26, 1970","Vanderbilt, Penn State",Career,,,NBA,294,93,16.4,2.3,5.6,.403,0.0,0.0,.077,2.3,5.6,.405,.403,1.7,2.6,.671,0.8,1.8,2.6,0.8,0.3,0.3,1.3,1.7,6.2
Ashraf Amaya,1996,1997,,6-8,230,"November 23, 1971",Southern Illinois,Career,,,NBA,85,34,14.7,1.6,3.4,.455,0.0,0.0,.500,1.6,3.4,.455,.457,1.3,2.1,.633,1.6,2.6,4.2,0.4,0.3,0.2,0.8,2.1,4.5
Al-Farouq Aminu,2011,2021,,6-8,220,"September 21, 1990",Wake Forest,Career,,,NBA,711,445,24.9,2.7,6.5,.420,0.8,2.3,.332,2.0,4.2,.467,.478,1.3,1.7,.746,1.4,4.6,6.0,1.2,1.0,0.6,1.2,1.8,7.5
Lou Amundson,2007,2016,,6-9,220,"December 7, 1982",UNLV,Career,,,NBA,428,42,12.9,1.5,3.2,.474,0.0,0.0,.000,1.5,3.2,.475,.474,0.6,1.4,.444,1.5,2.1,3.6,0.4,0.4,0.7,0.7,2.0,3.7
Bob Anderegg,1960,1960,,6-3,200,"August 24, 1937",Michigan State,Career,,,NBA,33,,11.3,1.7,4.3,.385,,,,,,,,0.7,1.3,.548,,,2.1,0.9,,,,1.0,4.0
Chris Andersen,2002,2017,,6-10,245,"July 7, 1978",Blinn College,Career,,,NBA,695,45,17.7,1.9,3.6,.532,0.0,0.1,.221,1.9,3.5,.541,.535,1.5,2.3,.654,1.7,3.3,5.0,0.5,0.4,1.4,0.7,1.9,5.4
David Andersen,2010,2011,,6-11,245,"June 23, 1980",,Career,,,NBA,103,0,12.3,2.0,4.5,.440,0.3,1.0,.347,1.6,3.5,.467,.478,0.6,0.9,.674,0.7,2.1,2.8,0.6,0.2,0.2,0.6,1.5,4.9
