player,year_min,year_max,pos,height,weight,birth_date,colleges,season,age,team_id,lg_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,ft_per_g,fta_per_g,ft_pct,trb_per_g,ast_per_g,pf_per_g,pts_per_g,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,orb_per_g,drb_per_g,stl_per_g,blk_per_g,tov_per_g
Donte Grantham,2019,2019,,6-8,215,"March 19, 1995",Clemson,Career,,,NBA,3,0,0.7,0.0,0.7,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.7,.000,0.0,0.0,,.000,0.0,0.0,0.0,0.0,0.0
Don Grate,1950,1950,,6-2,185,"August 27, 1923",Ohio State,Career,,,NBA,2,,,0.5,3.0,.167,1.0,1.0,1.000,,1.5,1.5,2.0,,,,,,,,,,,,
Butch Graves,1985,1985,,6-3,200,"January 5, 1962",Yale,Career,,,NBA,4,0,2.8,0.5,1.5,.333,0.3,1.3,.200,0.5,0.3,1.0,1.3,0.0,0.3,.000,0.5,1.3,.400,.333,0.0,0.5,0.3,0.0,0.3
Aaron Gray,2008,2014,,7-0,270,"December 7, 1984",Pitt,Career,,,NBA,318,87,12.1,1.4,2.7,.509,0.6,1.0,.562,3.7,0.7,2.1,3.4,0.0,0.0,.000,1.4,2.7,.511,.509,1.4,2.4,0.3,0.3,0.8
Devin Gray,1997,2000,,6-7,240,"May 31, 1972",Clemson,Career,,,NBA,27,2,6.4,0.9,2.3,.365,0.8,1.3,.618,1.4,0.3,1.2,2.5,0.0,0.0,,0.9,2.3,.365,.365,0.6,0.8,0.3,0.1,0.3
Ed Gray,1998,1999,,6-3,210,"September 27, 1975","Tennessee, California",Career,,,NBA,60,6,13.5,2.2,6.4,.339,1.4,1.7,.814,1.2,0.8,1.7,6.2,0.5,1.5,.341,1.7,4.9,.338,.378,0.3,1.0,0.5,0.2,1.0
Evric Gray,1997,1997,,6-7,235,"December 13, 1969",UNLV,Career,,,NBA,5,0,8.4,0.8,3.0,.267,0.8,0.8,1.000,0.6,0.4,1.0,2.6,0.2,0.8,.250,0.6,2.2,.273,.300,0.2,0.4,0.2,0.0,0.6
Gary Gray,1968,1968,,6-1,185,"February 23, 1945",Oklahoma City University,Career,,,NBA,44,,6.3,1.1,3.0,.366,0.2,0.2,.700,0.5,0.6,1.1,2.4,,,,,,,,,,,,
Josh Gray,2018,2020,,6-0,180,"September 9, 1993",LSU,Career,,,NBA,7,0,15.6,1.7,6.1,.279,1.0,1.6,.636,1.7,2.0,1.3,4.9,0.4,1.9,.231,1.3,4.3,.300,.314,0.4,1.3,1.1,0.3,1.7
Leonard Gray,1975,1977,,6-8,240,"December 19, 1951",Cal State Long Beach,Career,,,NBA,224,,27.0,4.6,9.8,.469,1.6,2.1,.739,5.2,2.2,3.7,10.8,,,,,,,,1.5,3.8,0.9,0.4,
Stuart Gray,1985,1991,,7-0,235,"May 27, 1963",UCLA,Career,,,NBA,386,5,9.0,0.9,2.0,.446,0.6,0.9,.663,2.6,0.4,1.7,2.3,0.0,0.0,.000,0.9,1.9,.450,.446,0.8,1.8,0.2,0.3,0.6
Sylvester Gray,1989,1989,,6-6,230,"July 8, 1967",Memphis,Career,,,NBA,55,15,22.2,3.0,7.2,.420,1.9,2.8,.673,5.2,2.1,2.6,8.0,0.0,0.1,.250,3.0,7.2,.421,.421,2.1,3.1,0.7,0.5,1.9
Wyndol Gray,1947,1948,,6-1,175,"March 20, 1922",Harvard University,Career,,,BAA,67,,,2.2,7.7,.283,1.1,1.9,.570,,0.7,1.8,5.4,,,,,,,,,,,,
Jeff Grayer,1989,1998,,6-5,200,"December 17, 1965",Iowa State,Career,,,NBA,438,101,18.9,3.1,6.7,.457,1.3,1.9,.663,3.0,1.4,1.7,7.4,0.1,0.3,.255,3.0,6.4,.467,.463,1.3,1.6,0.6,0.1,1.1
Bob Greacen,1970,1972,,6-7,206,"September 15, 1947",Rutgers University,Career,,,TOT,47,,7.6,1.0,2.6,.374,0.4,0.7,.600,1.4,0.9,1.2,2.4,0.0,0.0,,1.0,2.6,.374,.374,0.3,0.3,,,0.5
A.C. Green,1986,2001,,6-9,220,"October 4, 1963",Oregon State,Career,,,NBA,1278,832,28.6,3.6,7.2,.494,2.4,3.3,.734,7.4,1.1,1.9,9.6,0.1,0.4,.254,3.5,6.8,.507,.501,2.6,4.8,0.8,0.4,1.1
Danny Green,2010,2021,,6-6,215,"June 22, 1987",UNC,Career,,,NBA,757,681,25.6,3.2,7.5,.422,0.7,0.9,.805,3.5,1.6,1.8,9.0,1.9,4.8,.401,1.2,2.7,.461,.551,0.6,2.9,1.0,0.8,1.0
Devin Green,2006,2006,,6-7,210,"October 25, 1982",Hampton,Career,,,NBA,27,0,5.0,0.2,1.0,.214,0.5,0.8,.619,0.9,0.3,0.5,0.9,0.0,0.1,.000,0.2,1.0,.231,.214,0.4,0.5,0.1,0.0,0.2
Draymond Green,2013,2021,,6-6,230,"March 4, 1990",Michigan State,Career,,,NBA,639,491,28.5,3.2,7.3,.436,1.5,2.1,.715,6.9,5.3,2.8,8.8,0.9,2.8,.316,2.3,4.6,.509,.496,1.1,5.8,1.4,1.0,2.2
Erick Green,2015,2016,,6-4,185,"May 9, 1991",Virginia Tech,Career,,,NBA,52,1,8.7,1.3,3.4,.377,0.2,0.3,.857,0.7,0.8,0.6,3.1,0.3,1.0,.288,1.0,2.4,.415,.420,0.2,0.5,0.3,0.0,0.3
Gerald Green,2006,2019,,6-6,205,"January 26, 1986",,Career,,,NBA,658,118,19.8,3.5,8.4,.417,1.3,1.5,.818,2.5,0.9,1.9,9.7,1.5,4.1,.361,2.1,4.4,.469,.504,0.5,2.0,0.5,0.3,1.1
JaMychal Green,2015,2021,,6-8,227,"June 21, 1990",Alabama,Career,,,NBA,420,157,21.6,3.1,6.5,.470,1.2,1.5,.772,6.0,0.9,2.7,8.1,0.8,2.2,.380,2.2,4.3,.517,.535,1.8,4.2,0.5,0.4,1.1
Javonte Green,2020,2021,,6-4,205,"July 23, 1993",Radford,Career,,,NBA,89,4,10.6,1.3,2.6,.509,0.7,0.9,.707,1.8,0.5,1.0,3.5,0.2,0.7,.302,1.1,1.9,.588,.550,0.6,1.3,0.6,0.2,0.5
Jeff Green,2008,2021,,6-8,235,"August 28, 1986",Georgetown,Career,,,NBA,976,583,29.3,4.6,10.5,.444,2.5,3.1,.804,4.4,1.6,2.2,12.8,1.1,3.1,.340,3.6,7.3,.489,.495,0.9,3.5,0.7,0.5,1.4
Johnny Green,1960,1973,,6-5,200,"December 8, 1933",Michigan State,Career,,,NBA,1057,,23.3,4.7,9.5,.493,2.2,4.0,.553,8.6,1.4,2.7,11.6,,,,,,,,,,,,
Josh Green,2021,2021,,6-5,200,"November 16, 2000",Arizona,Career,,,NBA,39,5,11.4,1.1,2.4,.452,0.3,0.6,.565,2.0,0.7,0.9,2.6,0.1,0.6,.160,1.0,1.7,.559,.473,0.7,1.3,0.4,0.1,0.4
Ken Green,1986,1986,,6-8,215,"September 19, 1959",University of Texas-Pan American,Career,,,NBA,7,0,10.3,1.9,3.9,.481,0.7,1.3,.556,3.9,0.3,1.1,4.4,0.0,0.0,,1.9,3.9,.481,.481,1.7,2.1,0.6,0.0,0.1
Kenny Green,1986,1987,,6-6,210,"October 11, 1964",Wake Forest,Career,,,NBA,60,0,10.4,1.8,4.4,.412,0.8,1.1,.721,1.7,0.3,1.0,4.4,0.0,0.0,.000,1.8,4.4,.414,.412,0.6,1.1,0.2,0.2,0.8
Lamar Green,1970,1975,,6-7,210,"March 22, 1947",Morehead State University,Career,,,TOT,411,,17.8,2.2,5.1,.430,0.8,1.3,.660,6.2,0.8,2.5,5.2,0.0,0.0,,2.2,5.1,.430,.430,1.4,3.7,0.4,0.5,1.2
Litterial Green,1993,1999,,6-1,185,"March 7, 1970",Georgia,Career,,,NBA,148,4,8.0,1.0,2.3,.420,0.9,1.4,.665,0.5,1.2,0.8,2.9,0.0,0.2,.077,1.0,2.1,.448,.423,0.2,0.3,0.3,0.0,0.5
Luther Green,1970,1973,,6-7,190,"November 13, 1946",Long Island University,Career,,,TOT,90,,10.4,1.7,4.5,.383,0.8,1.7,.507,3.6,0.3,1.5,4.3,0.0,0.1,.000,1.7,4.4,.390,.383,1.4,2.4,,,0.9
Mike Green,1974,1980,,6-10,200,"August 6, 1951",Louisiana Tech,Career,,,TOT,459,,24.7,4.7,9.9,.480,2.1,2.8,.732,6.9,1.3,2.9,11.5,0.0,0.1,.083,4.7,9.9,.481,.480,2.6,4.3,0.7,1.6,1.8
Rickey Green,1978,1992,,6-0,170,"August 18, 1954",Michigan,Career,,,NBA,946,513,24.6,3.8,8.1,.469,1.7,2.2,.807,1.9,5.5,1.5,9.4,0.0,0.2,.207,3.8,7.9,.475,.471,0.5,1.4,1.4,0.1,1.7
Sean Green,1992,1994,,6-5,210,"February 2, 1970","NC State, Iona College",Career,,,NBA,84,0,8.0,1.8,4.7,.386,0.4,0.6,.620,1.0,0.5,0.8,4.2,0.2,0.7,.246,1.6,4.0,.412,.405,0.4,0.6,0.4,0.2,0.8
Si Green,1957,1966,,6-2,185,"August 20, 1933",Duquesne,Career,,,NBA,504,,26.1,3.4,8.9,.387,2.3,3.4,.676,4.3,3.3,2.8,9.2,,,,,,,,,,,,
Sidney Green,1984,1993,,6-9,220,"January 4, 1961",UNLV,Career,,,NBA,679,242,19.5,2.9,6.5,.454,1.6,2.2,.738,6.1,0.9,2.6,7.5,0.0,0.0,.037,2.9,6.4,.457,.455,1.9,4.2,0.5,0.3,1.5
Steve Green,1976,1979,,6-7,220,"October 4, 1953",Indiana,Career,,,TOT,205,,13.2,2.3,5.3,.441,1.1,1.5,.730,2.4,0.8,2.0,5.8,0.0,0.1,.000,2.3,5.2,.443,.441,1.1,1.4,0.5,0.1,0.8
Taurean Green,2008,2008,,6-0,177,"November 28, 1986",Florida,Career,,,NBA,17,0,4.4,0.4,1.5,.280,0.6,0.7,.917,0.6,0.6,0.3,1.6,0.1,0.6,.182,0.3,0.8,.357,.320,0.0,0.6,0.1,0.0,0.5
Tommie Green,1979,1979,,6-2,185,"April 8, 1956",Southern University and A&M College,Career,,,NBA,59,,13.7,1.6,4.0,.388,0.8,1.1,.762,1.2,2.4,1.9,3.9,,,,,,,,0.3,0.8,1.0,0.1,1.5
Willie Green,2004,2015,,6-4,200,"July 28, 1981",Detroit Mercy,Career,,,NBA,731,297,20.2,3.3,7.8,.425,1.0,1.3,.765,1.8,1.4,1.7,8.3,0.7,2.0,.346,2.6,5.7,.454,.471,0.3,1.5,0.5,0.1,1.0
Donté Greene,2009,2012,,6-11,226,"February 21, 1988",Syracuse,Career,,,NBA,253,82,16.8,2.3,5.7,.406,0.8,1.2,.701,2.4,0.7,1.5,6.1,0.7,2.1,.304,1.7,3.6,.467,.463,0.6,1.8,0.4,0.5,0.9
Orien Greene,2006,2011,,6-4,208,"February 4, 1982","Florida, Louisiana",Career,,,NBA,131,7,11.9,1.0,2.5,.387,0.5,0.7,.642,1.5,1.2,1.7,2.5,0.1,0.4,.212,0.9,2.1,.420,.404,0.4,1.1,0.7,0.1,1.1
Jerry Greenspan,1964,1965,,6-5,195,"November 22, 1941",Maryland,Career,,,NBA,25,,13.2,1.6,4.1,.388,1.7,2.3,.724,3.3,0.4,2.6,4.9,,,,,,,,,,,,
Dave Greenwood,1980,1991,,6-9,222,"May 27, 1957",UCLA,Career,,,NBA,823,418,28.4,4.0,8.3,.477,2.3,3.1,.765,7.9,2.0,3.2,10.2,0.0,0.0,.138,3.9,8.2,.479,.478,2.3,5.6,0.7,0.9,1.8
Hal Greer*,1959,1973,,6-2,175,"June 26, 1936",Marshall,Career,,,NBA,1122,,35.5,7.6,16.8,.452,4.1,5.1,.801,5.0,4.0,3.4,19.2,,,,,,,,,,,,
Lynn Greer,2007,2007,,6-2,175,"October 23, 1979",Temple,Career,,,NBA,41,0,10.5,1.5,3.4,.433,0.7,0.8,.844,0.7,1.3,0.8,4.1,0.4,1.3,.346,1.0,2.2,.483,.496,0.0,0.6,0.4,0.0,0.4
Gary Gregor,1969,1974,,6-7,225,"August 13, 1945",South Carolina,Career,,,TOT,361,,23.0,3.9,9.0,.436,1.1,1.5,.725,6.3,1.3,2.4,8.9,0.0,0.1,.750,3.9,9.0,.435,.436,1.0,2.4,0.2,0.0,0.8
Claude Gregory,1986,1988,,6-8,205,"December 26, 1958",Wisconsin,Career,,,NBA,25,2,12.6,2.5,5.4,.456,0.5,1.4,.333,3.9,0.6,1.5,5.4,0.0,0.0,.000,2.5,5.4,.459,.456,1.6,2.3,0.4,0.5,1.0
John Greig,1983,1983,,6-7,215,"April 28, 1961",Oregon,Career,,,NBA,9,0,2.9,0.8,1.4,.538,0.6,0.7,.833,0.7,0.0,0.4,2.1,0.0,0.0,,0.8,1.4,.538,.538,0.2,0.4,0.0,0.1,0.2
Norm Grekin,1954,1954,,6-5,180,"June 22, 1930",La Salle,Career,,,NBA,1,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,,,,,,,,,,,,
Kevin Grevey,1976,1985,,6-5,210,"May 12, 1953",Kentucky,Career,,,NBA,672,82,22.7,4.3,9.9,.437,2.1,2.5,.817,2.4,1.9,1.9,11.0,0.4,1.1,.334,4.1,9.3,.444,.448,0.9,1.5,0.6,0.2,1.4
Dennis Grey,1969,1970,,6-8,215,"August 26, 1947",California Western Uiversity,Career,,,ABA,62,,22.4,3.1,7.5,.410,2.6,4.9,.536,5.6,0.8,3.4,8.8,0.0,0.0,.000,3.1,7.5,.411,.410,2.0,3.6,,,2.1
Adrian Griffin,2000,2008,,6-5,217,"July 4, 1974",Seton Hall,Career,,,NBA,477,179,16.8,1.6,3.8,.438,0.6,0.8,.763,3.2,1.4,1.8,4.0,0.1,0.4,.278,1.5,3.4,.455,.452,1.1,2.1,0.9,0.1,0.7
Blake Griffin,2011,2021,,6-10,250,"March 16, 1989",Oklahoma,Career,,,NBA,668,652,34.2,7.8,15.8,.495,4.6,6.6,.696,8.6,4.3,2.8,20.9,0.7,2.1,.334,7.1,13.6,.521,.518,2.1,6.5,0.9,0.5,2.5
Eddie Griffin,2002,2007,,6-10,220,"May 30, 1982",Seton Hall,Career,,,NBA,303,117,22.2,2.8,7.5,.377,0.7,1.1,.671,5.8,0.8,1.7,7.2,0.8,2.5,.315,2.0,5.0,.408,.430,1.6,4.1,0.3,1.7,0.7
Greg Griffin,1978,1978,,6-7,190,"September 6, 1952",Idaho State University,Career,,,NBA,36,,11.7,1.7,4.7,.361,0.6,1.0,.639,2.9,0.7,1.6,4.0,,,,,,,,1.2,1.6,0.4,0.0,1.1
Paul Griffin,1977,1983,,6-9,205,"January 20, 1954",Western Michigan,Career,,,NBA,480,0,20.9,1.7,3.5,.505,1.6,2.3,.692,5.5,2.3,2.9,5.1,0.0,0.0,,1.7,3.5,.505,.505,1.9,3.7,0.8,0.5,1.6
Taylor Griffin,2010,2010,,6-7,238,"April 18, 1986",Oklahoma,Career,,,NBA,8,0,4.0,0.5,1.3,.400,0.3,0.5,.500,0.3,0.1,0.5,1.3,0.0,0.3,.000,0.5,1.0,.500,.400,0.0,0.3,0.0,0.3,0.1
Darrell Griffith,1981,1991,,6-4,190,"June 16, 1958",Louisville,Career,,,NBA,765,412,28.0,6.8,14.8,.463,1.8,2.6,.707,3.3,2.1,2.2,16.2,0.7,2.1,.332,6.2,12.7,.485,.487,1.0,2.3,1.2,0.3,2.1
Chuck Grigsby,1955,1955,,6-5,190,"August 15, 1928",Dayton,Career,,,NBA,7,,6.4,1.0,2.7,.368,0.3,1.1,.250,1.6,1.0,1.3,2.3,,,,,,,,,,,,
Derek Grimm,1998,1998,,6-9,230,"August 3, 1974",Missouri,Career,,,NBA,9,0,3.8,0.4,1.6,.286,0.2,0.2,1.000,0.4,0.0,0.7,1.6,0.4,1.3,.333,0.0,0.2,.000,.429,0.0,0.4,0.3,0.1,0.3
Woody Grimshaw,1947,1947,,6-1,185,"September 24, 1919",Brown University,Career,,,BAA,21,,,1.0,2.7,.357,1.0,2.1,.477,,0.0,1.2,2.9,,,,,,,,,,,,
Dick Groat,1953,1953,,5-11,180,"November 4, 1930",Duke,Career,,,NBA,26,,25.5,3.8,10.5,.368,4.2,5.3,.790,3.3,2.7,3.5,11.9,,,,,,,,,,,,
Bob Gross,1976,1983,,6-6,200,"August 3, 1953","Seattle University, Cal State Long Beach",Career,,,NBA,513,27,24.5,3.6,7.1,.512,1.7,2.1,.798,4.4,2.9,2.9,8.9,0.0,0.1,.179,3.6,7.0,.514,.512,1.8,2.6,1.2,0.7,2.1
Mike Grosso,1972,1972,,6-9,230,"September 7, 1947",Louisville,Career,,,ABA,25,,13.4,1.8,4.1,.441,0.5,0.9,.565,4.9,0.4,2.6,4.1,0.0,0.0,,1.8,4.1,.441,.441,2.0,3.0,,,0.8
Jerry Grote,1965,1965,,6-4,215,"December 28, 1940",Loyola Marymount,Career,,,NBA,11,,3.0,0.5,1.0,.545,0.2,0.2,1.000,0.4,0.4,0.5,1.3,,,,,,,,,,,,
Alex Groza,1950,1951,,6-7,218,"October 7, 1926",Kentucky,Career,,,NBA,130,,,7.8,16.4,.474,6.9,9.1,.756,10.7,2.4,3.5,22.5,,,,,,,,,,,,
Dick Grubar,1970,1970,,6-4,184,"July 26, 1947",UNC,Career,,,ABA,2,,4.0,1.0,1.5,.667,0.0,0.0,,0.0,0.5,0.5,2.0,0.0,0.0,,1.0,1.5,.667,.667,0.0,0.0,,,0.0
Anthony Grundy,2006,2006,,6-3,180,"April 15, 1979",NC State,Career,,,NBA,12,0,9.0,1.6,3.2,.500,0.8,1.2,.643,1.4,0.8,1.2,4.3,0.4,1.3,.333,1.2,1.9,.609,.566,0.1,1.3,0.6,0.0,0.8
Ernie Grunfeld,1978,1986,,6-6,210,"April 24, 1955",Tennessee,Career,,,NBA,693,17,18.6,3.0,6.2,.477,1.4,1.8,.770,2.6,2.0,2.2,7.4,0.1,0.2,.337,2.9,6.1,.480,.481,0.7,1.9,0.7,0.2,1.2
Gene Guarilia,1960,1963,,6-5,220,"September 13, 1937",George Washington,Career,,,NBA,129,,8.4,1.3,3.5,.376,0.6,1.0,.611,2.3,0.3,1.1,3.2,,,,,,,,,,,,
Pétur Guðmundsson,1982,1989,,7-2,260,"October 30, 1958",Washington,Career,,,NBA,150,20,13.7,1.7,3.4,.494,1.3,1.7,.754,3.8,1.0,2.7,4.6,0.0,0.0,.500,1.7,3.4,.494,.495,1.1,2.6,0.2,0.6,1.3
Marko Guduric,2020,2020,,6-6,201,"March 8, 1995",,Career,,,NBA,44,0,11.0,1.4,3.6,.395,0.5,0.6,.923,1.7,1.0,0.8,3.9,0.6,1.9,.301,0.8,1.7,.500,.475,0.3,1.3,0.3,0.2,0.8
Richie Guerin*,1957,1970,,6-4,195,"May 29, 1932",Iona College,Career,,,NBA,848,,32.4,6.1,14.7,.416,5.1,6.5,.780,5.0,5.0,3.3,17.3,,,,,,,,,,,,
Tom Gugliotta,1993,2005,,6-10,240,"December 19, 1969",NC State,Career,,,NBA,763,608,30.9,5.1,11.3,.451,2.5,3.4,.757,7.3,2.8,2.5,13.0,0.3,1.0,.284,4.8,10.3,.467,.463,2.1,5.2,1.4,0.6,2.3
Andrés Guibert,1994,1995,,6-10,225,"October 28, 1968",,Career,,,NBA,22,0,9.1,1.0,3.0,.328,0.7,1.1,.640,2.8,0.5,1.6,2.7,0.0,0.2,.000,1.0,2.9,.349,.328,1.2,1.6,0.4,0.1,0.8
Jay Guidinger,1993,1994,,6-10,255,"August 18, 1969",University of Minnesota Duluth,Career,,,NBA,64,5,5.4,0.5,1.4,.402,0.4,0.7,.609,1.5,0.3,1.1,1.5,0.0,0.0,,0.5,1.4,.402,.402,0.6,0.9,0.2,0.2,0.4
Coulby Gunther,1947,1949,,6-4,190,"February 5, 1923",Boston College,Career,,,BAA,84,,,3.7,11.2,.332,3.2,5.0,.642,,0.8,2.2,10.6,,,,,,,,,,,,
Dave Gunther,1963,1963,,6-7,190,"July 22, 1937",Iowa,Career,,,NBA,1,,5.0,1.0,2.0,.500,0.0,0.0,,3.0,3.0,1.0,2.0,,,,,,,,,,,,
Al Guokas,1950,1950,,6-5,200,"August 7, 1925",Saint Joseph's,Career,,,NBA,57,,,1.6,5.2,.311,0.5,0.9,.560,,1.7,2.5,3.8,,,,,,,,,,,,
Matt Guokas,1947,1947,,6-3,195,"November 11, 1915",Saint Joseph's,Career,,,BAA,47,,,0.6,2.2,.269,0.6,1.0,.553,,0.2,1.5,1.7,,,,,,,,,,,,
Matt Guokas,1967,1976,,6-5,175,"February 25, 1944",Saint Joseph's,Career,,,NBA,735,,22.6,2.4,5.0,.489,1.0,1.3,.727,2.0,3.0,2.0,5.8,,,,,,,,0.4,1.2,0.5,0.2,
Jorge Gutiérrez,2014,2016,,6-3,191,"December 27, 1988",California,Career,,,NBA,47,3,10.3,1.1,2.3,.500,0.6,0.8,.778,1.1,1.5,1.4,2.9,0.1,0.4,.176,1.1,1.9,.562,.514,0.2,1.0,0.4,0.0,0.7
Kyle Guy,2020,2021,,6-1,167,"August 11, 1997",Virginia,Career,,,NBA,34,0,7.2,0.9,2.7,.333,0.5,0.6,.800,1.1,1.0,0.6,2.7,0.4,1.4,.265,0.5,1.3,.409,.403,0.1,0.9,0.2,0.0,0.3
A.J. Guyton,2001,2003,,6-1,180,"February 12, 1978",Indiana,Career,,,NBA,80,14,15.6,2.1,5.5,.377,0.5,0.6,.822,1.0,1.8,0.7,5.5,0.9,2.4,.378,1.2,3.1,.377,.460,0.3,0.7,0.3,0.2,0.8
